objet_social_parent_id,objet_social_id,objet_social_lib
015000,015070,"amicales, associations d'anciens étudiants, d'anciens élèves"
015000,015075,"amicales, associations du personnel d'établissements scolaires ou universitaires"
015000,015085,"organisation, financement de voyages d'études, d'échanges, pour scolaires ou universitaires"
015000,015087,études et formations linguistiques 
015000,015090,"promotion de titres, de diplômes"
015000,015100,apprentissage 
015000,015105,maisons familiales rurales 
024000,024000,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024005,"pollutions, assainissement"
024000,024010,ressources naturelles 
024000,024015,espaces naturels 
024000,024020,protection de sites naturels 
024000,024025,préservation de la faune sauvage 
024000,024026,protection des animaux 
024000,024030,préservation de la flore sauvage 
024000,024035,"comités de défense, comités de sauvegarde"
024000,024040,mouvements écologiques  
024000,024045,défense et amélioration du cadre de vie 
024000,024050,actions de sensibilisation et d'éducation à l'environnement et au développement durable 
005000,005000,INFORMATION COMMUNICATION 
005000,005005,"presse, édition"
005000,005010,radios privées 
005000,005015,audiovisuel 
005000,005020,réseaux internet 
005000,005025,autres supports de communication 
005000,005030,"auditeurs, consommateurs d'outils d'information et de communication"
005000,005035,professionnels de l'information et de communication 
019000,019000,INTERVENTIONS SOCIALES 
019000,019004,aide et conseils aux familles 
019000,019005,"associations familiales, services sociaux pour les familles"
019000,019010,"centres sociaux, foyers de jeunes travailleurs, centres d'études et d'action sociale"
019000,019012,lutte contre le surendettement 
019000,019014,lutte contre l'illettrisme 
019000,019016,aide à l'insertion des jeunes 
019000,019020,"groupements de chômeurs, aide aux chômeurs"
019000,019025,aide aux réfugiés et aux immigrés (hors défense de droits fondamentaux) 
019000,019030,"aide aux victimes de calamités naturelles, de catastrophes naturelles"
019000,019032,aide aux victimes de violences conjugales 
019000,019035,aide aux victimes de violences faites aux enfants 
019000,019040,"aide aux personnes en danger, solitude, désespoir, soutien psychologique et moral"
019000,019042,lutte contre la violence routière 
019000,019045,lutte contre diverses formes de violence 
019000,019047,foyers socio-éducatifs 
019000,019050,réinsertion des délinquants 
019000,019055,"soutien aux détenus, reclassement des détenus"
004000,004000,JUSTICE 
004000,004010,"médiation, prévention"
004000,004020,"contrôle judiciaire, associations de personnels de justice"
004000,004025,"accès aux droits dans les tribunaux, assistance juridique"
004000,004030,défense des droits des victimes 
004000,004035,"maisons du droit, accès au droit"
032000,032000,LOGEMENT 
033000,032510,aide au logement 
033000,032520,"associations et comités de locataires, de propriétaires, comités de logement"
033000,032525,réhabilitation et construction de logements 
010000,010000,PRÉSERVATION DU PATRIMOINE 
010000,010005,"collections d'objets, de documents, bibliothèques spécialisées pour la sauvegarde et l'entretien du patrimoine"
010000,010010,"musées, collections historiques"
010000,010015,"associations, sociétés savantes pour des études historiques, histoire du patrimoine"
010000,010017,"sociétés, clubs de généalogie"
010000,010020,"commémorations, entretien de monuments et sites historiques, souvenir militaire"
010000,010022,comités de défense du patrimoine 
010000,010030,construction de monuments (sauf lieux de culte) 
016000,016000,RECHERCHE 
016000,016005,recherche sur l'éducation et la formation  
016000,016010,recherche sur la culture  
