objet_social_parent_id,objet_social_id,objet_social_lib,objet_social_parent_lib
007000,007005,"bridge, jeux de cartes, échecs, dames, jeux de société .","CLUBS DE LOISIRS, RELATIONS"
007000,007010,"billard, quilles","CLUBS DE LOISIRS, RELATIONS"
007000,007025,"clubs de collectionneurs sauf collectionneurs de véhicules, modélisme, philatélie, numismatique","CLUBS DE LOISIRS, RELATIONS"
007000,007030,"collectionneurs de véhicules, clubs amateurs de voitures anciennes","CLUBS DE LOISIRS, RELATIONS"
007000,007035,"cercles privés, fan clubs","CLUBS DE LOISIRS, RELATIONS"
007000,007040,activités festives (soirées.) ,"CLUBS DE LOISIRS, RELATIONS"
007000,007045,"élevages canins, clubs de chiens de défense","CLUBS DE LOISIRS, RELATIONS"
007000,007050,"animaux familiers, colombophilie, aquariophilie","CLUBS DE LOISIRS, RELATIONS"
007000,007060,"gastronomie, œnologie, confréries, gourmets","CLUBS DE LOISIRS, RELATIONS"
007000,007070,"jardinage, jardins ouvriers, floralies","CLUBS DE LOISIRS, RELATIONS"
007000,007075,"échanges locaux, réseaux d'échanges","CLUBS DE LOISIRS, RELATIONS"
007000,007080,"centres de loisirs, clubs de loisirs multiples","CLUBS DE LOISIRS, RELATIONS"
007000,007085,"relaxation, sophrologie","CLUBS DE LOISIRS, RELATIONS"
007000,007095,radioamateurs ,"CLUBS DE LOISIRS, RELATIONS"
023000,022510,"cantines, restaurants d'entreprises","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022515,"centres de gestion, centres juridiques, audits","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022520,"gestion financière, gestion immobilière","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022525,études techniques ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022530,"groupement d'achat, groupement d'entreprises","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022535,"amicales de commerçants, organisation de foires","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022540,"chambres de commerce, chambres économiques","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022542,"association à but commercial, développement économique","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022543,transports ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022545,"caisses de retraite, de prévoyance, de pensions","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,022550,"caisses de congés payés, caisses de secours","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
006000,006005,"bibliothèques, ludothèques, discothèques, vidéothèques","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006010,"expression écrite, littérature, poésie","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006020,"arts graphiques, bandes dessinées, peinture, sculpture, architecture","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006025,"photographie, cinéma (dont ciné-clubs)","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006030,"chant choral, musique","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006040,danse ,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006045,folklore ,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006070,"théâtre, marionnettes, cirque, spectacles de variété","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006090,"artisanat, travaux manuels, bricolage, expositions","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006100,promotion de l'art et des artistes ,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006105,loisirs scientifiques et techniques ,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006110,"langues, dialectes, patois","CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
006000,006115,arts de la rue ,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
003000,003010,défense de la paix ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003012,défense des droits des enfants ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003015,défense des libertés publiques et des droits de l'Homme ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003020,"défense des droits des femmes, condition féminine","DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003025,défense de droits de personnes homosexuelles ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003030,défense des droits des  personnes en situation de handicap ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003045,défense de droits de personnes rapatriées ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003050,"défense de droits de personnes étrangères ou immigrées, de personnes réfugiées","DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003035,association pour la défense de droits de minorités ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003040,lutte contre les discriminations ,"DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
003000,003060,"activités civiques, information civique","DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES"
015000,015005,parents d'élèves ,ÉDUCATION  FORMATION 
015000,015010,"organisation de professions enseignantes, amicales de personnel",ÉDUCATION  FORMATION 
015000,015025,"associations périscolaires, coopération scolaire, aide à l'enseignement",ÉDUCATION  FORMATION 
015000,015030,"œuvres sociales en faveur des élèves, œuvres en faveur des pupilles de la nation",ÉDUCATION  FORMATION 
015000,015035,organisme de gestion d'établissement d'enseignement général et technique ,ÉDUCATION  FORMATION 
015000,015040,organisme de gestion d'établissement d'enseignement supérieur ,ÉDUCATION  FORMATION 
015000,015045,"établissement de formation professionnelle, de formation continue",ÉDUCATION  FORMATION 
015000,015050,centre d'enseignement et de formation ,ÉDUCATION  FORMATION 
015000,015065,"associations d'étudiants, d'élèves",ÉDUCATION  FORMATION 
015000,015070,"amicales, associations d'anciens étudiants, d'anciens élèves",ÉDUCATION  FORMATION 
015000,015075,"amicales, associations du personnel d'établissements scolaires ou universitaires",ÉDUCATION  FORMATION 
015000,015085,"organisation, financement de voyages d'études, d'échanges, pour scolaires ou universitaires",ÉDUCATION  FORMATION 
015000,015087,études et formations linguistiques ,ÉDUCATION  FORMATION 
015000,015090,"promotion de titres, de diplômes",ÉDUCATION  FORMATION 
015000,015100,apprentissage ,ÉDUCATION  FORMATION 
015000,015105,maisons familiales rurales ,ÉDUCATION  FORMATION 
024000,024005,"pollutions, assainissement","ENVIRONNEMENT,  CADRE DE VIE"
024000,024010,ressources naturelles ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024015,espaces naturels ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024020,protection de sites naturels ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024025,préservation de la faune sauvage ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024026,protection des animaux ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024030,préservation de la flore sauvage ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024035,"comités de défense, comités de sauvegarde","ENVIRONNEMENT,  CADRE DE VIE"
024000,024040,mouvements écologiques  ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024045,défense et amélioration du cadre de vie ,"ENVIRONNEMENT,  CADRE DE VIE"
024000,024050,actions de sensibilisation et d'éducation à l'environnement et au développement durable ,"ENVIRONNEMENT,  CADRE DE VIE"
005000,005005,"presse, édition",INFORMATION COMMUNICATION 
005000,005010,radios privées ,INFORMATION COMMUNICATION 
005000,005015,audiovisuel ,INFORMATION COMMUNICATION 
005000,005020,réseaux internet ,INFORMATION COMMUNICATION 
005000,005025,autres supports de communication ,INFORMATION COMMUNICATION 
005000,005030,"auditeurs, consommateurs d'outils d'information et de communication",INFORMATION COMMUNICATION 
005000,005035,professionnels de l'information et de communication ,INFORMATION COMMUNICATION 
019000,019004,aide et conseils aux familles ,INTERVENTIONS SOCIALES 
019000,019005,"associations familiales, services sociaux pour les familles",INTERVENTIONS SOCIALES 
019000,019010,"centres sociaux, foyers de jeunes travailleurs, centres d'études et d'action sociale",INTERVENTIONS SOCIALES 
019000,019012,lutte contre le surendettement ,INTERVENTIONS SOCIALES 
019000,019014,lutte contre l'illettrisme ,INTERVENTIONS SOCIALES 
019000,019016,aide à l'insertion des jeunes ,INTERVENTIONS SOCIALES 
019000,019020,"groupements de chômeurs, aide aux chômeurs",INTERVENTIONS SOCIALES 
019000,019025,aide aux réfugiés et aux immigrés (hors défense de droits fondamentaux) ,INTERVENTIONS SOCIALES 
019000,019030,"aide aux victimes de calamités naturelles, de catastrophes naturelles",INTERVENTIONS SOCIALES 
019000,019032,aide aux victimes de violences conjugales ,INTERVENTIONS SOCIALES 
019000,019035,aide aux victimes de violences faites aux enfants ,INTERVENTIONS SOCIALES 
019000,019040,"aide aux personnes en danger, solitude, désespoir, soutien psychologique et moral",INTERVENTIONS SOCIALES 
019000,019042,lutte contre la violence routière ,INTERVENTIONS SOCIALES 
019000,019045,lutte contre diverses formes de violence ,INTERVENTIONS SOCIALES 
019000,019047,foyers socio-éducatifs ,INTERVENTIONS SOCIALES 
019000,019050,réinsertion des délinquants ,INTERVENTIONS SOCIALES 
019000,019055,"soutien aux détenus, reclassement des détenus",INTERVENTIONS SOCIALES 
004000,004010,"médiation, prévention",JUSTICE 
004000,004020,"contrôle judiciaire, associations de personnels de justice",JUSTICE 
004000,004025,"accès aux droits dans les tribunaux, assistance juridique",JUSTICE 
004000,004030,défense des droits des victimes ,JUSTICE 
004000,004035,"maisons du droit, accès au droit",JUSTICE 
033000,032510,aide au logement ,
033000,032520,"associations et comités de locataires, de propriétaires, comités de logement",
033000,032525,réhabilitation et construction de logements ,
010000,010005,"collections d'objets, de documents, bibliothèques spécialisées pour la sauvegarde et l'entretien du patrimoine",PRÉSERVATION DU PATRIMOINE 
010000,010010,"musées, collections historiques",PRÉSERVATION DU PATRIMOINE 
010000,010015,"associations, sociétés savantes pour des études historiques, histoire du patrimoine",PRÉSERVATION DU PATRIMOINE 
010000,010017,"sociétés, clubs de généalogie",PRÉSERVATION DU PATRIMOINE 
010000,010020,"commémorations, entretien de monuments et sites historiques, souvenir militaire",PRÉSERVATION DU PATRIMOINE 
